classifier,classifier_file,extractor,extractor_file,subsampling,nfilter,regularization,pre_filter_order,smoothing_window,smoothing_type,subject,mean_squared_error,roc_score,roc_auc_score,precision_score,accuracy_score,date,time,id,test_series
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202429_.sav,csp,../extractors/_csp_20210913202425_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.04479837015738127,0.6671700961221326,0.6671700961221326,0,0,13/09/2021,20:24:29,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202453_.sav,csp,../extractors/_csp_20210913202449_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.0341629854814418,0.7481788679573996,0.7481788679573996,0,0,13/09/2021,20:24:53,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202517_.sav,csp,../extractors/_csp_20210913202513_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.03553420439304041,0.7131190959884913,0.7131190959884913,0,0,13/09/2021,20:25:18,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202542_.sav,csp,../extractors/_csp_20210913202539_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.03565220930808566,0.7552080844913202,0.7552080844913202,0,0,13/09/2021,20:25:43,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202607_.sav,csp,../extractors/_csp_20210913202604_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05313924913001026,0.676697199818859,0.676697199818859,0,0,13/09/2021,20:26:07,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202631_.sav,csp,../extractors/_csp_20210913202628_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05406620705106427,0.7064247318677067,0.7064247318677067,0,0,13/09/2021,20:26:32,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-7_linear-discriminant-analysis_20210913202655_.sav,csp,../extractors/_csp_20210913202652_.sav,250,20,ledoit_wolf,5,200,boxcar,7,0.05292595346350559,0.70387881061627,0.70387881061627,0,0,13/09/2021,20:26:56,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202657_.sav,csp,,250,20,ledoit_wolf,5,200,boxcar,8,0.04165220653973025,0.7522780178184169,0.7522780178184169,0,0,13/09/2021,20:26:58,44f4e487-5971-46bc-93b7-dcb76b6104b6,[1]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202721_.sav,csp,../extractors/_csp_20210913202718_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.03913824229022336,0.7497974494921573,0.7497974494921573,0,0,13/09/2021,20:27:22,44f4e487-5971-46bc-93b7-dcb76b6104b6,[2]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202742_.sav,csp,../extractors/_csp_20210913202740_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06506193159527618,0.6544480419408117,0.6544480419408117,0,0,13/09/2021,20:27:43,44f4e487-5971-46bc-93b7-dcb76b6104b6,[3]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202805_.sav,csp,../extractors/_csp_20210913202801_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.043258663267664456,0.7861732044309752,0.7861732044309752,0,0,13/09/2021,20:28:06,44f4e487-5971-46bc-93b7-dcb76b6104b6,[4]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202826_.sav,csp,../extractors/_csp_20210913202824_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06996731637892663,0.6729796505808351,0.6729796505808351,0,0,13/09/2021,20:28:27,44f4e487-5971-46bc-93b7-dcb76b6104b6,[5]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202848_.sav,csp,../extractors/_csp_20210913202845_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.042167014764452726,0.7701695476593714,0.7701695476593714,0,0,13/09/2021,20:28:49,44f4e487-5971-46bc-93b7-dcb76b6104b6,[6]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202910_.sav,csp,../extractors/_csp_20210913202908_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06805297883622892,0.6534995858965771,0.6534995858965771,0,0,13/09/2021,20:29:10,44f4e487-5971-46bc-93b7-dcb76b6104b6,[7]
linear-discriminant-analysis,../models/subject-8_linear-discriminant-analysis_20210913202931_.sav,csp,../extractors/_csp_20210913202928_.sav,250,20,ledoit_wolf,5,200,boxcar,8,0.06831351816471136,0.7028575935661602,0.7028575935661602,0,0,13/09/2021,20:29:31,44f4e487-5971-46bc-93b7-dcb76b6104b6,[8]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203743_.sav,csp,../extractors/_csp_20210913203739_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.05454873602196128,0.6258840485834657,0.6258840485834657,0,0,13/09/2021,20:37:43,c4fd3249-e659-4d65-a768-7d205aaa0e19,[1]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203808_.sav,csp,../extractors/_csp_20210913203804_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.04212463808351274,0.6002512859100156,0.6002512859100156,0,0,13/09/2021,20:38:08,c4fd3249-e659-4d65-a768-7d205aaa0e19,[2]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203836_.sav,csp,../extractors/_csp_20210913203831_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.04329433301160862,0.6123692396801631,0.6123692396801631,0,0,13/09/2021,20:38:37,c4fd3249-e659-4d65-a768-7d205aaa0e19,[3]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203902_.sav,csp,../extractors/_csp_20210913203858_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.041749041630304774,0.6236337989480153,0.6236337989480153,0,0,13/09/2021,20:39:02,c4fd3249-e659-4d65-a768-7d205aaa0e19,[4]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203925_.sav,csp,../extractors/_csp_20210913203921_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.04137857072560695,0.5761829272959699,0.5761829272959699,0,0,13/09/2021,20:39:26,c4fd3249-e659-4d65-a768-7d205aaa0e19,[5]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913203949_.sav,csp,../extractors/_csp_20210913203945_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.05777209864723731,0.5835484838790823,0.5835484838790823,0,0,13/09/2021,20:39:49,c4fd3249-e659-4d65-a768-7d205aaa0e19,[6]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913204014_.sav,csp,../extractors/_csp_20210913204012_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.05832815718675005,0.6039255020883073,0.6039255020883073,0,0,13/09/2021,20:40:15,c4fd3249-e659-4d65-a768-7d205aaa0e19,[7]
linear-discriminant-analysis,../models/subject-9_linear-discriminant-analysis_20210913204040_.sav,csp,../extractors/_csp_20210913204037_.sav,250,20,ledoit_wolf,5,200,boxcar,9,0.05611181808314213,0.5918337138413273,0.5918337138413273,0,0,13/09/2021,20:40:40,c4fd3249-e659-4d65-a768-7d205aaa0e19,[8]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204111_.sav,csp,../extractors/_csp_20210913204107_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.03971557163849294,0.6748077705548475,0.6748077705548475,0,0,13/09/2021,20:41:12,c4fd3249-e659-4d65-a768-7d205aaa0e19,[1]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204136_.sav,csp,../extractors/_csp_20210913204132_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.03955396282478719,0.6511955191437425,0.6511955191437425,0,0,13/09/2021,20:41:37,c4fd3249-e659-4d65-a768-7d205aaa0e19,[2]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204159_.sav,csp,../extractors/_csp_20210913204156_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.05619383074048075,0.6086662687766994,0.6086662687766994,0,0,13/09/2021,20:41:59,c4fd3249-e659-4d65-a768-7d205aaa0e19,[3]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204221_.sav,csp,../extractors/_csp_20210913204218_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.04009045421599596,0.6869629583306978,0.6869629583306978,0,0,13/09/2021,20:42:22,c4fd3249-e659-4d65-a768-7d205aaa0e19,[4]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204244_.sav,csp,../extractors/_csp_20210913204241_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.057979897405207585,0.5798295571714959,0.5798295571714959,0,0,13/09/2021,20:42:45,c4fd3249-e659-4d65-a768-7d205aaa0e19,[5]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204308_.sav,csp,../extractors/_csp_20210913204304_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.03857692810466213,0.7311597244150455,0.7311597244150455,0,0,13/09/2021,20:43:09,c4fd3249-e659-4d65-a768-7d205aaa0e19,[6]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204334_.sav,csp,../extractors/_csp_20210913204331_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.058895645662043555,0.6119161122300402,0.6119161122300402,0,0,13/09/2021,20:43:34,c4fd3249-e659-4d65-a768-7d205aaa0e19,[7]
linear-discriminant-analysis,../models/subject-10_linear-discriminant-analysis_20210913204359_.sav,csp,../extractors/_csp_20210913204355_.sav,250,20,ledoit_wolf,5,200,boxcar,10,0.05790967301662253,0.6016942534031308,0.6016942534031308,0,0,13/09/2021,20:43:59,c4fd3249-e659-4d65-a768-7d205aaa0e19,[8]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204427_.sav,csp,../extractors/_csp_20210913204424_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.047841025098428504,0.6176201983583883,0.6176201983583883,0,0,13/09/2021,20:44:28,c4fd3249-e659-4d65-a768-7d205aaa0e19,[1]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204452_.sav,csp,../extractors/_csp_20210913204449_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.0556002366941352,0.6514894390659246,0.6514894390659246,0,0,13/09/2021,20:44:52,c4fd3249-e659-4d65-a768-7d205aaa0e19,[2]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204514_.sav,csp,../extractors/_csp_20210913204510_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.03692438830532867,0.6831520146884565,0.6831520146884565,0,0,13/09/2021,20:45:14,c4fd3249-e659-4d65-a768-7d205aaa0e19,[3]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204538_.sav,csp,../extractors/_csp_20210913204535_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.05671174612807239,0.6730928788167265,0.6730928788167265,0,0,13/09/2021,20:45:38,c4fd3249-e659-4d65-a768-7d205aaa0e19,[4]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204602_.sav,csp,../extractors/_csp_20210913204558_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.04069148797102389,0.6767233339994632,0.6767233339994632,0,0,13/09/2021,20:46:03,c4fd3249-e659-4d65-a768-7d205aaa0e19,[5]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204626_.sav,csp,../extractors/_csp_20210913204623_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.03800431223719613,0.6749299660314177,0.6749299660314177,0,0,13/09/2021,20:46:27,c4fd3249-e659-4d65-a768-7d205aaa0e19,[6]
linear-discriminant-analysis,../models/subject-11_linear-discriminant-analysis_20210913204647_.sav,csp,../extractors/_csp_20210913204644_.sav,250,20,ledoit_wolf,5,200,boxcar,11,0.05497504965726722,0.6499970624185095,0.6499970624185095,0,0,13/09/2021,20:46:48,c4fd3249-e659-4d65-a768-7d205aaa0e19,[7]
