Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,BothStartLoadPhase,False,11,1,30.669671807512035
BothReleased,BothStartLoadPhase,False,11,2,33.33488398559887
BothReleased,BothStartLoadPhase,False,11,3,32.15332608866613
BothReleased,BothStartLoadPhase,False,11,4,30.046477138612584
BothReleased,BothStartLoadPhase,False,11,5,38.19871140725671
BothReleased,BothStartLoadPhase,False,11,6,28.991463028725995
BothReleased,BothStartLoadPhase,False,11,7,31.511295877189802
BothReleased,BothStartLoadPhase,False,11,8,34.54001565830026
BothReleased,BothStartLoadPhase,False,11,9,29.58412354741411
BothReleased,BothStartLoadPhase,False,11,10,33.13692131444238
BothReleased,BothStartLoadPhase,False,11,12,34.006203060866824
BothReleased,BothStartLoadPhase,False,8,1,24.271138388768833
BothReleased,BothStartLoadPhase,False,8,2,23.79713538713908
BothReleased,BothStartLoadPhase,False,8,3,26.91865558017886
BothReleased,BothStartLoadPhase,False,8,4,28.148729149455125
BothReleased,BothStartLoadPhase,False,8,5,30.626385874069463
BothReleased,BothStartLoadPhase,False,8,6,29.564365563347177
BothReleased,BothStartLoadPhase,False,8,7,26.998251770248025
BothReleased,BothStartLoadPhase,False,8,9,34.457384556125746
BothReleased,BothStartLoadPhase,False,8,10,27.337848090054298
BothReleased,BothStartLoadPhase,False,8,11,32.320462158403885
BothReleased,BothStartLoadPhase,False,8,12,24.366668118035758
BothReleased,BothStartLoadPhase,False,10,1,27.61710632914651
BothReleased,BothStartLoadPhase,False,10,2,30.68621528007488
BothReleased,BothStartLoadPhase,False,10,3,30.683198016207847
BothReleased,BothStartLoadPhase,False,10,4,27.00198759242338
BothReleased,BothStartLoadPhase,False,10,5,32.64858782086869
BothReleased,BothStartLoadPhase,False,10,6,25.393196087532868
BothReleased,BothStartLoadPhase,False,10,7,29.877925527012415
BothReleased,BothStartLoadPhase,False,10,8,31.116758706248547
BothReleased,BothStartLoadPhase,False,10,9,29.008222470988382
BothReleased,BothStartLoadPhase,False,10,11,29.317987693350442
BothReleased,BothStartLoadPhase,False,10,12,30.141017746291066
BothReleased,FirstDigitTouch,False,1,2,23.929295992590447
BothReleased,FirstDigitTouch,False,1,3,24.31106729432468
BothReleased,FirstDigitTouch,False,1,4,22.97223427855113
BothReleased,FirstDigitTouch,False,1,5,34.18304897848043
BothReleased,FirstDigitTouch,False,1,6,29.834801964910696
BothReleased,FirstDigitTouch,False,1,7,23.49913368081277
BothReleased,FirstDigitTouch,False,1,8,26.97272514794967
BothReleased,FirstDigitTouch,False,1,9,23.954854969954738
BothReleased,FirstDigitTouch,False,1,10,23.78461651513839
